thread,stage,comments
2025-09,Excluded after targeted review,5
2025-09,Missing or empty top-level text,10
2025-09,Reply or missing depth,144
2025-09,Retained hiring comment,294
2026-09,Excluded after targeted review,5
2026-09,Missing or empty top-level text,9
2026-09,Reply or missing depth,140
2026-09,Retained hiring comment,256
